WorkerID	IsEnglishNative	IsUrduNative	LocationIndia	LocationPakistan	YearSpeakingEnglish	YearSpeakingUrdu
a2iouac3vzbks6	YES	YES	YES	NO	100	100
a34ce07kjic192	NO	NO	NO	NO	20	UNKNOWN
alrghxunh1uv7	NO	YES	YES	NO	15	20
a3b84pq645okwb	NO	YES	YES	NO	11	17
a353ocl6lm6m4o	YES	YES	YES	NO	20	20
a143bvgouf83je	NO	YES	YES	NO	25	30
a2i57ww1b3evwx	NO	YES	YES	NO	15	20
ayowrg5s0py3f	YES	YES	YES	NO	10	32
a7o9tyb0xcikg	NO	NO	YES	NO	14	2
a2dsltew8ffmbv	NO	YES	YES	NO	15	22
a172x4w90uost1	NO	NO	YES	NO	20	25
a132zmwemnnusa	NO	YES	YES	NO	10	30
a2pwmdzucikw4c	NO	YES	YES	NO	22	24
a1aczgd5azz3r7	NO	NO	YES	NO	25	2
a2yc779twnpohq	NO	YES	YES	NO	16	24
a2de039cxxjuga	NO	YES	YES	NO	7	25
a1wyssw33m2fz2	NO	YES	NO	NO	20	27
a2yfc3l62fkzfr	YES	YES	YES	NO	33	47
a1fij2sbw160xt	NO	YES	YES	NO	15	19
a28z6a8uc4er3x	NO	YES	YES	NO	7	25
az9utcfpk0ude	YES	YES	YES	NO	23	23
a31n8vegvccz9a	NO	YES	YES	NO	12	20
a2llfcd7di80k3	NO	YES	YES	NO	20	30
a1u0z1mafqeh9y	NO	YES	YES	NO	15	24
alzgu09bjzsiw	YES	YES	YES	NO	22	24
a237ydzvlsvdzw	YES	NO	NO	NO	UNKNOWN	UNKNOWN
a28e6z78qj2yz6	NO	YES	NO	NO	1	25
a1es9zcdrlgxls	NO	YES	NO	NO	23	28
a2xknsbfsj3hso	NO	YES	YES	NO	19	20
a1hb5veh552cys	NO	YES	YES	NO	21	21
a1sanjgoj47idf	NO	YES	YES	NO	10	22
a21xirv18up71h	YES	YES	YES	NO	12	21
a1vbzioywe4osh	NO	YES	YES	NO	10	20
a2qlm59qc9g1uf	YES	YES	YES	NO	UNKNOWN	UNKNOWN
a33mu4sfa9v8ei	NO	NO	YES	NO	10	15
a3kwcqj39dxkt4	NO	NO	YES	NO	20	6
a1kpcqmdzmxxzw	NO	YES	NO	NO	14	25
a4x4g5ttibjer	NO	YES	YES	NO	18	28
a3hs2e871iw2fi	NO	NO	YES	NO	18	6
a3dd3acpmvdvca	NO	YES	YES	NO	15	23
a1is07hajk7bzr	NO	YES	YES	NO	UNKNOWN	UNKNOWN
a3bz8b0jpubzqq	NO	YES	YES	NO	25	37
a3fq8i38xt2b4z	NO	YES	YES	NO	16	20
a2u20xxn0ob88e	NO	NO	NO	NO	5	4
a3sw1e5d0b9v9a	UNKNOWN	UNKNOWN	YES	NO	UNKNOWN	UNKNOWN
a39gcdog0zj64o	NO	NO	YES	NO	10	10
a2aktvoca80377	NO	YES	NO	NO	10	26
a3u16uhguaktzs	NO	YES	NO	NO	20	25
a8v7wa74iohz9	NO	YES	YES	NO	5	20
amwxjmcv94h5s	YES	YES	YES	NO	10	20
a2jtc8u7z5z9tf	YES	YES	YES	NO	20	35
